"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
"
VASCONEQ,Vascon Engineers Limited,RATHIKA KARIAPPA,-,Equity Shares,48199,0.02,,23499,1736715,Sell,Equity Shares,24700
MTARTECH,Mtar Technologies Limited,Saranya Loka Reddy,Promoters,Equity Shares,999666,3.25,,10000,22983298,Sell,Equity Shares,989666
MTARTECH,Mtar Technologies Limited,P Kalpana Reddy,Promoters,Equity Shares,1000000,3.25,,25000,57884588,Sell,Equity Shares,975000
MTARTECH,Mtar Technologies Limited,Northeast Broking Services Limited,Promoter Group,Equity Shares,35000,0.11,,22500,52195992,Sell,Equity Shares,12500
MTARTECH,Mtar Technologies Limited,Leelavathi Parvatha Reddy,Promoters,Equity Shares,948212,3.08,,26500,60819410,Sell,Equity Shares,921712
SHOPERSTOP,Shoppers Stop Limited,Shwetal Basu,Employees/Designated Employees,Equity Shares,5064,0,,2504,1706802,Sell,Equity Shares,2560
USHAMART,Usha Martin Limited,PETERHOUSE  INVESTMENTS INDIA LIMITED,Promoter Group,Equity Shares,19586529,6.43,,75000,23160000,Sell,Equity Shares,19511529
NAM-INDIA,Nippon Life India Asset Management Limited,Sundeep Sikka,Director,Equity Shares,382378,0.06,,57378,25680098,Sell,Equity Shares,325000
NAM-INDIA,Nippon Life India Asset Management Limited,Samir Rachh,Employees/Designated Employees,Equity Shares,18595,0,,18595,8311403,Sell,Equity Shares,Nil
NAM-INDIA,Nippon Life India Asset Management Limited,Vivek Kishor Kulthe,Employees/Designated Employees,Equity Shares,6219,0,,6219,2988230,Sell,Equity Shares,Nil
NAM-INDIA,Nippon Life India Asset Management Limited,Amit Tripathi,Employees/Designated Employees,Equity Shares,22173,0,,21957,9814685,Sell,Equity Shares,216
ADVENZYMES,Advanced Enzyme Technologies Limited,Advanced Vital Enzymes Private Limited,Promoter Group,Equity Shares,730699,0.65,,103699,38903717,Sell,Equity Shares,627000
